Symbol|shortName|dividendRate|previousClose|currentPrice|dividendYield|payoutRatio|quoteType|lastDividendValue|date|message|ExDividendDate|DividendDate|Earnings Date|payoutdate|buy_date|hist|insight|symbol|dividend|Ex-Dividend Date|Dividend Date
| Advance Auto Parts Inc. |1.0|40.37|38.95|2.57|126.58|EQUITY||2025-01-10| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-27|2025-04-25|2025-04-10| This is line with previous dividend. | AAP dividend growth is zero. |AAP|0.25|2025-04-11|2025-04-24
| Patterson Companies  Inc. |1.04|31.25|31.21|3.33|50.98|EQUITY||2024-10-18| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-06-16|2024-11-01|2024-10-17| This is line with previous dividend. | PDCO dividend growth is zero. |PDCO|0.26|2024-10-18|2024-10-31
| ManpowerGroup |3.08|59.34|58.66|5.25|102.33|EQUITY||2024-12-02| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-16|2024-12-16|2024-12-01| This is line with previous dividend. | MAN dividend growth is zero. |MAN|1.54|2024-12-02|2024-12-15
| Innospec Inc. |1.58|97.39|95.2|1.66|109.15|EQUITY||2024-11-18| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-07|2024-11-26|2024-11-17| This is line with previous dividend. | IOSP dividend growth is zero. |IOSP|0.79|2024-11-18|2024-11-25
| Independent Bank Corp. |2.36|64.7|63.19|3.73|50.44|EQUITY||2024-12-30| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-16|2025-04-07|2025-03-30| This is line with previous dividend. | INDB dividend growth is zero. |INDB|0.57|2025-03-31|2025-04-06
| Nuveen AMT-Free Municipal Credi |0.95|12.2|12.27|7.61|407.69|EQUITY||2025-03-14| Payout Ratio falls within the  high risk  range (>75%). |||2025-06-30|2019-02-01|2024-06-13| This is line with previous dividend. | NVG dividend growth is zero. |NVG|0.079|2024-06-14|2019-01-31
| Nomad Foods Limited |0.68|19.71|19.84|3.43|39.59|EQUITY||2025-02-10| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-03-03|2025-02-26|2025-02-09| This is line with previous dividend. |  NOMD first paid dividend 2 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 13.33% |NOMD|0.17|2025-02-10|2025-02-25
| 53270 |2.28|32.39|32.47|7.02|22.03|EQUITY||2025-03-18| Payout Ratio falls within the  low risk  range (<35%). |||||| This is line with previous dividend. |  UTG first paid dividend 22 years ago but dividends are growing only for 7 years. Dividend Growth Rate for last 5 years is 1.09% |UTG|0.19||
| California Water Service Group |1.2|46.51|48.25|2.49|34.46|EQUITY||2025-02-10| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-23|2025-02-21|2025-02-09| This is line with previous dividend. |  CWT first paid dividend 39 years ago but dividends are growing only for 22 years. Dividend Growth Rate for last 5 years is 9.80% |CWT|0.34|2025-02-10|2025-02-20
| Four Corners Property Trust  In |1.42|28.47|28.58|4.97|129.91|EQUITY||2024-12-31| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-29|2025-04-15|2025-03-30| This is line with previous dividend. | FCPT dividend growth is zero. |FCPT|0.355|2025-03-31|2025-04-14
| Buckle  Inc. (The) |1.4|39.26|37.98|3.69|35.99|EQUITY||2025-01-15| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-22|2025-04-29|2025-04-14| This is line with previous dividend. |  BKE first paid dividend 24 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 714.29% |BKE|2.85|2025-04-15|2025-04-28
| Arbor Realty Trust |1.72|12.04|11.76|14.63|145.76|EQUITY||2025-03-07| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-01|2025-03-21|2025-03-06| This is line with previous dividend. | ABR dividend growth is zero. |ABR|0.43|2025-03-07|2025-03-20
| LCI Industries |4.6|91.36|87.4|5.26|76.79|EQUITY||2025-03-07| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-06|2025-03-21|2025-03-06| This is line with previous dividend. |  LCII first paid dividend 14 years ago but dividends are growing only for 5 years. Dividend Growth Rate for last 5 years is 12.09% |LCII|1.15|2025-03-07|2025-03-20
| St. Joe Company (The) |0.56|46.93|46.31|1.21|40.94|EQUITY||2025-03-10| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-22|2025-03-27|2025-03-09| This is line with previous dividend. |  JOE first paid dividend 24 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 18.32% |JOE|0.14|2025-03-10|2025-03-26
| WaFd  Inc. |1.08|28.7|28.31|3.81|47.49|EQUITY||2025-02-21| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-21|2025-03-07|2025-02-20| This is line with previous dividend. |  WAFD first paid dividend 39 years ago but dividends are growing only for 8 years. Dividend Growth Rate for last 5 years is 4.18% |WAFD|0.27|2025-02-21|2025-03-06
| Playtika Holding Corp. |0.4|5.2|5.2|7.69|90.91|EQUITY||2025-03-21| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-07|2025-04-04|2025-03-20| This is line with previous dividend. | PLTK dividend growth is zero. |PLTK|0.1|2025-03-21|2025-04-03
| Hawkins  Inc. |0.72|106.56|106.14|0.68|17.39|EQUITY||2025-02-14| Payout Ratio falls within the  low risk  range (<35%). |||2025-05-13|2025-02-28|2025-02-13| This is line with previous dividend. |  HWKN first paid dividend 39 years ago but dividends are growing only for 7 years. Dividend Growth Rate for last 5 years is 9.09% |HWKN|0.18|2025-02-14|2025-02-27
| Banc of California  Inc. |0.4|14.5|14.16|2.82|76.92|EQUITY||2025-03-14| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-21|2025-04-01|2025-03-13| This is line with previous dividend. | BANC dividend growth is zero. |BANC|0.1|2025-03-14|2025-03-31
| Nuveen Preferred & Income Oppor |0.8|7.89|7.92|10.08|52.69|EQUITY||2025-03-14| Payout Ratio falls within the  medium risk  range (33%-75%). |||||| This is line with previous dividend. |  JPC first paid dividend 23 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 39.58% |JPC|0.067||
| Kulicke and Soffa Industries  I |0.82|34.5|33.06|2.48|731.82|EQUITY||2025-03-20| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-28|2025-04-08|2025-03-19| This is line with previous dividend. |  KLIC first paid dividend 8 years ago but dividends are growing only for 5 years. Dividend Growth Rate for last 5 years is 11.30% |KLIC|0.205|2025-03-20|2025-04-07
| Eaton Vance Tax-Managed Global  |0.66|8.24|8.16|9.13|163.42|EQUITY||2025-03-14| Payout Ratio falls within the  high risk  range (>75%). |||||| This is line with previous dividend. | EXG dividend growth is zero. |EXG|0.066||
| The Cheesecake Factory Incorpor |1.08|51.09|49.68|2.17|33.75|EQUITY||2025-03-05| Payout Ratio falls within the  low risk  range (<35%). |||2025-05-06|2025-03-18|2025-03-04| This is line with previous dividend. | CAKE dividend growth is zero. |CAKE|0.27|2025-03-05|2025-03-17
| Albany International Corporatio |1.08|71.98|69.38|1.56|37.5|EQUITY||2025-03-21| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-28|2025-04-07|2025-03-20| This is line with previous dividend. |  AIN first paid dividend 35 years ago but dividends are growing only for 14 years. Dividend Growth Rate for last 5 years is 7.28% |AIN|0.27|2025-03-21|2025-04-06
| AZZ Inc. |0.68|85.76|84.0|0.81|40.24|EQUITY||2025-01-30| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-21|2025-02-20|2025-01-29| This is line with previous dividend. |  AZZ first paid dividend 29 years ago but dividends are growing only for 9 years. Dividend Growth Rate for last 5 years is 0.00% |AZZ|0.17|2025-01-30|2025-02-19
| First Financial Bancorp. |0.96|25.29|24.8|3.87|39.17|EQUITY||2025-03-03| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-23|2025-03-17|2025-03-02| This is line with previous dividend. |  FFBC first paid dividend 38 years ago but dividends are growing only for 9 years. Dividend Growth Rate for last 5 years is 0.85% |FFBC|0.24|2025-03-03|2025-03-16
| Concentra Group Holdings Parent |0.25|21.78|21.44|1.17|4.28|EQUITY||2025-03-18| Payout Ratio falls within the  low risk  range (<35%). |||2025-05-05|2025-04-01|2025-03-17| This is line with previous dividend. | CON dividend growth is zero. |CON|0.063|2025-03-18|2025-03-31
| Chemours Company (The) |1.0|14.29|13.72|7.29|175.44|EQUITY||2025-02-28| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-28|2025-03-14|2025-02-27| This is line with previous dividend. |  CC first paid dividend 11 years ago but dividends are growing only for 8 years. Dividend Growth Rate for last 5 years is 0.00% |CC|0.25|2025-02-28|2025-03-13
| Medical Properties Trust  Inc. |0.32|6.21|6.04|5.3|1054.55|EQUITY||2025-03-10| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-07|2025-04-10|2025-03-09| This is line with previous dividend. | MPW dividend growth is zero. |MPW|0.08|2025-03-10|2025-04-09
| Scorpio Tankers Inc. |1.6|38.05|38.28|4.18|12.17|EQUITY||2024-08-15| Payout Ratio falls within the  low risk  range (<35%). |||2025-05-05|2025-03-21|2025-03-06| This is line with previous dividend. | STNG dividend growth is zero. |STNG|0.4|2025-03-07|2025-03-20
| Energizer Holdings  Inc. |1.2|29.78|29.67|4.04|151.9|EQUITY||2025-02-20| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-05|2025-03-13|2025-02-19| This is line with previous dividend. | ENR dividend growth is zero. |ENR|0.3|2025-02-20|2025-03-12
| Curbline Properties Corp. |0.64|24.05|23.86|2.68|0.0|EQUITY||2025-03-14| Payout Ratio falls within the  high risk  range (>75%). |||||| This is line with previous dividend. | CURB dividend growth is zero. |CURB|0.16||
| Cosan S.A. |0.35|5.44|5.38|6.45|39.99|EQUITY||2024-06-10| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-05-14|2024-07-08|2024-06-09| This is line with previous dividend. | CSAN dividend growth is zero. |CSAN|0.347|2024-06-10|2024-07-07
| Peabody Energy Corporation |0.3|14.34|13.72|2.19|10.99|EQUITY||2025-02-19| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-30|2025-03-11|2025-02-18| This is line with previous dividend. | BTU dividend growth is zero. |BTU|0.075|2025-02-19|2025-03-10
| Provident Financial Services  I |0.96|17.39|17.07|5.62|91.43|EQUITY||2025-02-14| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-16|2025-02-28|2025-02-13| This is line with previous dividend. |  PFS first paid dividend 23 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 1.07% |PFS|0.24|2025-02-14|2025-02-27
| Quaker Houghton |1.94|129.79|125.5|1.55|28.42|EQUITY||2025-01-17| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-30|2025-04-30|2025-04-15| This is line with previous dividend. |  KWR first paid dividend 39 years ago but dividends are growing only for 5 years. Dividend Growth Rate for last 5 years is 4.73% |KWR|0.485|2025-04-16|2025-04-29
| Nuveen Municipal Credit Income  |0.95|12.04|12.09|7.89|34.51|EQUITY||2025-03-14| Payout Ratio falls within the  low risk  range (<35%). |||2025-06-30|2019-02-01|2025-03-13| This is line with previous dividend. |  NZF first paid dividend 25 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 116.93% |NZF|0.08|2025-03-14|2019-01-31
| Minerals Technologies Inc. |0.44|64.89|63.61|0.69|7.93|EQUITY||2025-02-14| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-24|2025-03-07|2025-02-13| This is line with previous dividend. |  MTX first paid dividend 33 years ago but dividends are growing only for 22 years. Dividend Growth Rate for last 5 years is 17.08% |MTX|0.11|2025-02-14|2025-03-06
| Central Puerto S.A. |0.91|11.89|11.57|5.99|0.0|EQUITY||2024-01-12| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-08|2024-12-13|2024-11-28| This is line with previous dividend. | CEPU dividend growth is zero. |CEPU|0.066|2024-11-29|2024-12-12
| Seaboard Corporation |9.0|2665.81|2711.29|0.33|9.93|EQUITY||2025-02-24| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-28|2025-03-06|2025-02-23| This is line with previous dividend. |  SEB first paid dividend 31 years ago but dividends are growing only for 7 years. Dividend Growth Rate for last 5 years is 0.00% |SEB|2.25|2025-02-24|2025-03-05
| SolarWinds Corporation ||18.46|18.43||0.0|EQUITY||2024-04-02| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-30|2024-04-15|2024-04-01| This is line with previous dividend. | SWI dividend growth is zero. |SWI|1.0|2024-04-02|2024-04-14
| Grupo Aval Acciones y Valores S |0.12|2.8|2.72|4.27|67.49|EQUITY||2025-01-31| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-05-12|2025-03-10|2025-02-27| This is line with previous dividend. | AVAL dividend growth is zero. |AVAL|0.009|2025-02-28|2025-03-09
| Eaton Vance Tax-Managed Diversi |1.19|14.43|14.21|8.5|76.3|EQUITY||2025-03-14| Payout Ratio falls within the  high risk  range (>75%). |||||| This is line with previous dividend. | ETY dividend growth is zero. |ETY|0.099||
| Pacific Premier Bancorp Inc |1.32|21.82|21.25|6.21|80.0|EQUITY||2025-02-03| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-22|2025-02-10|2025-02-02| This is line with previous dividend. | PPBI dividend growth is zero. |PPBI|0.33|2025-02-03|2025-02-09
| FB Financial Corporation |0.76|47.94|47.05|1.62|27.42|EQUITY||2025-02-11| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-14|2025-02-25|2025-02-10| This is line with previous dividend. |  FBK first paid dividend 8 years ago but dividends are growing only for 6 years. Dividend Growth Rate for last 5 years is 16.12% |FBK|0.19|2025-02-11|2025-02-24
| LXP Industrial Trust |0.53|8.81|8.75|6.06|403.85|EQUITY||2024-12-31| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-30|2025-04-15|2025-03-30| This is line with previous dividend. | LXP dividend growth is zero. |LXP|0.135|2025-03-31|2025-04-14
| Select Medical Holdings Corpora |0.25|17.03|16.8|1.49|98.04|EQUITY||2025-03-03| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-30|2025-03-13|2025-03-02| This is line with previous dividend. | SEM dividend growth is zero. |SEM|0.063|2025-03-03|2025-03-12
| Spectrum Brands Holdings  Inc. |1.88|71.53|71.02|2.65|47.79|EQUITY||2025-02-18| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-05-07|2025-03-11|2025-02-17| This is line with previous dividend. |  SPB first paid dividend 20 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 11.90% |SPB|0.47|2025-02-18|2025-03-10
| Cohen & Steers Infrastructure F |1.86|25.0|25.33|7.34|65.49|EQUITY||2025-03-11| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-03-07|2019-03-29|2025-04-07| This is line with previous dividend. | UTF dividend growth is zero. |UTF|0.155|2025-04-08|2019-03-28
| GCM Grosvenor Inc. |0.44|13.44|13.25|3.32|1466.67|EQUITY||2025-03-03| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-05|2025-03-17|2025-03-02| This is line with previous dividend. | GCMG dividend growth is zero. |GCMG|0.11|2025-03-03|2025-03-16
| Sunstone Hotel Investors  Inc.  |0.36|9.69|9.47|3.8|242.86|EQUITY||2024-12-31| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-05|2025-04-15|2025-03-30| This is line with previous dividend. | SHO dividend growth is zero. |SHO|0.09|2025-03-31|2025-04-14
| HNI Corporation |1.32|45.48|44.67|2.96|45.49|EQUITY||2025-02-24| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-28|2025-03-05|2025-02-23| This is line with previous dividend. |  HNI first paid dividend 36 years ago but dividends are growing only for 32 years. Dividend Growth Rate for last 5 years is 1.59% |HNI|0.33|2025-02-24|2025-03-04
| Pimco Corporate & Income Opport |1.43|14.43|14.45|9.69|104.06|EQUITY||2025-03-13| Payout Ratio falls within the  high risk  range (>75%). |||||| This is line with previous dividend. | PTY dividend growth is zero. |PTY|0.119||
| Marex Group plc |0.56|34.49|34.48|1.62|10.29|EQUITY||2025-03-17| Payout Ratio falls within the  low risk  range (<35%). |||2025-03-06|2025-03-31|2025-03-16| This is line with previous dividend. | MRX dividend growth is zero. |MRX|0.14|2025-03-17|2025-03-30
| Vishay Intertechnology  Inc. |0.4|16.63|16.18|2.47|64.52|EQUITY||2025-03-13| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-05-06|2025-03-27|2025-03-12| This is line with previous dividend. |  VSH first paid dividend 13 years ago but dividends are growing only for 8 years. Dividend Growth Rate for last 5 years is 1.03% |VSH|0.1|2025-03-13|2025-03-26
| InvenTrust Properties Corp. |0.95|29.27|29.22|3.25|476.26|EQUITY||2024-12-30| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-28|2025-04-15|2025-03-30| This is line with previous dividend. | IVT dividend growth is zero. |IVT|0.226|2025-03-31|2025-04-14
| John Wiley & Sons  Inc. |1.41|44.82|44.41|3.17|190.2|EQUITY||2024-12-26| Payout Ratio falls within the  high risk  range (>75%). |||2025-06-11|2025-04-24|2025-04-07| This is line with previous dividend. | WLY dividend growth is zero. |WLY|0.3525|2025-04-08|2025-04-23
| First Merchants Corporation |1.4|41.04|40.39|3.47|40.76|EQUITY||2025-03-07| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-23|2025-03-21|2025-03-06| This is line with previous dividend. |  FRME first paid dividend 37 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 4.81% |FRME|0.35|2025-03-07|2025-03-20
| Standex International Corporati |1.28|167.58|160.36|0.8|26.64|EQUITY||2025-02-14| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-30|2025-02-28|2025-02-13| This is line with previous dividend. |  SXI first paid dividend 39 years ago but dividends are growing only for 15 years. Dividend Growth Rate for last 5 years is 7.78% |SXI|0.32|2025-02-14|2025-02-27
| Adams Diversified Equity Fund I |2.92|19.25|18.93|15.43|54.11|EQUITY||2025-01-27| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-16|2019-03-01|2025-01-26| This is line with previous dividend. | ADX dividend growth is zero. |ADX|0.47|2025-01-27|2019-02-28
| Seacoast Banking Corporation of |0.72|26.08|25.49|2.82|50.7|EQUITY||2025-03-14| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-23|2025-03-31|2025-03-13| This is line with previous dividend. | SBCF dividend growth is zero. |SBCF|0.18|2025-03-14|2025-03-30
| Banner Corporation |1.92|64.44|63.81|3.01|39.34|EQUITY||2025-02-04| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-15|2025-02-14|2025-02-03| This is line with previous dividend. |  BANR first paid dividend 30 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 4.02% |BANR|0.48|2025-02-04|2025-02-13
| Strategic Education  Inc. |2.4|86.27|85.66|2.8|51.39|EQUITY||2025-03-10| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-24|2025-03-17|2025-03-09| This is line with previous dividend. |  STRA first paid dividend 25 years ago but dividends are growing only for 6 years. Dividend Growth Rate for last 5 years is 0.00% |STRA|0.6|2025-03-10|2025-03-16
| Renasant Corporation |0.88|35.03|33.72|2.61|26.91|EQUITY||2025-03-17| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-21|2025-03-31|2025-03-16| This is line with previous dividend. |  RNST first paid dividend 33 years ago but dividends are growing only for 8 years. Dividend Growth Rate for last 5 years is 0.00% |RNST|0.22|2025-03-17|2025-03-30
| Weibo Corporation |0.82|10.01|9.39|8.73|0.0|EQUITY||2024-04-11| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-21|2025-05-15|2025-04-08| This is line with previous dividend. | WB dividend growth is zero. |WB|0.82|2025-04-09|2025-05-14
| Century Communities  Inc. |1.16|69.12|66.87|1.73|10.0|EQUITY||2025-02-26| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-23|2025-03-12|2025-02-25| This is line with previous dividend. |  CCS first paid dividend 5 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 17.92% |CCS|0.29|2025-02-26|2025-03-11
| Werner Enterprises  Inc. |0.56|29.8|29.33|1.91|101.82|EQUITY||2025-01-02| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-29|2025-05-07|2025-04-13| This is line with previous dividend. | WERN dividend growth is zero. |WERN|0.14|2025-04-14|2025-05-06
| NBT Bancorp Inc. |1.36|43.48|43.09|3.16|44.44|EQUITY||2025-03-03| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-21|2025-03-17|2025-03-02| This is line with previous dividend. |  NBTB first paid dividend 34 years ago but dividends are growing only for 9 years. Dividend Growth Rate for last 5 years is 4.72% |NBTB|0.34|2025-03-03|2025-03-16
| Kayne Anderson MLP/Midstream In |0.96|12.82|12.92|7.43|19.27|EQUITY||2025-03-14| Payout Ratio falls within the  low risk  range (<35%). |||2025-01-28|2019-03-29|2025-03-13| This is line with previous dividend. | KYN dividend growth is zero. |KYN|0.08|2025-03-14|2019-03-28
| ICF International  Inc. |0.56|85.85|86.17|0.65|9.62|EQUITY||2025-03-28| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-30|2025-04-14|2025-03-27| This is line with previous dividend. | ICFI dividend growth is zero. |ICFI|0.14|2025-03-28|2025-04-13
| Enerpac Tool Group Corp. |0.04|46.22|44.8|0.09|2.47|EQUITY||2024-10-07| Payout Ratio falls within the  low risk  range (<35%). |||2025-06-23|2024-10-18|2024-10-06| This is line with previous dividend. | EPAC dividend growth is zero. |EPAC|0.04|2024-10-07|2024-10-17
| ArcBest Corporation |0.48|73.56|70.8|0.68|6.59|EQUITY||2025-02-11| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-28|2025-02-25|2025-02-10| This is line with previous dividend. | ARCB dividend growth is zero. |ARCB|0.12|2025-02-11|2025-02-24
| Guggenheim Strategic Opportunit |2.19|15.61|15.54|17.93|1092.6|EQUITY||2025-03-14| Payout Ratio falls within the  high risk  range (>75%). |||2025-03-31|2019-01-31|2023-10-11| This is line with previous dividend. |  GOF first paid dividend 19 years ago but dividends are growing only for 12 years. Dividend Growth Rate for last 5 years is 0.00% |GOF|0.182|2023-10-12|2019-01-30
| Corporacion Inmobiliaria Vesta  |0.73|23.3|23.05|3.17|28.14|EQUITY||2024-10-11| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-17|2025-01-23|2025-01-13| This is line with previous dividend. | VTMX dividend growth is zero. |VTMX|0.184|2025-01-14|2025-01-22
| Evertec  Inc. |0.2|37.35|36.65|0.55|11.56|EQUITY||2024-10-28| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-29|2025-03-21|2025-03-02| This is line with previous dividend. | EVTC dividend growth is zero. |EVTC|0.05|2025-03-03|2025-03-20
| Alamo Group  Inc. |1.2|186.11|180.84|0.66|10.8|EQUITY||2025-01-16| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-30|2025-01-29|2025-01-15| This is line with previous dividend. |  ALG first paid dividend 33 years ago but dividends are growing only for 11 years. Dividend Growth Rate for last 5 years is 18.20% |ALG|0.3|2025-01-16|2025-01-28
| Delek Logistics Partners  L.P. |4.42|43.84|43.64|10.13|144.31|EQUITY||2025-02-04| Payout Ratio falls within the  high risk  range (>75%). |||2025-05-05|2025-02-11|2025-02-03| This is line with previous dividend. |  DKL first paid dividend 13 years ago but dividends are growing only for 12 years. Dividend Growth Rate for last 5 years is 4.42% |DKL|1.105|2025-02-04|2025-02-10
| Sonic Automotive  Inc. |1.4|56.74|55.11|2.54|20.23|EQUITY||2025-03-14| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-23|2025-04-15|2025-03-13| This is line with previous dividend. |  SAH first paid dividend 22 years ago but dividends are growing only for 8 years. Dividend Growth Rate for last 5 years is 28.47% |SAH|0.35|2025-03-14|2025-04-14
| Gabelli Dividend & Income Trust |1.68|24.3|24.12|6.97|39.13|EQUITY||2025-03-17| Payout Ratio falls within the  medium risk  range (33%-75%). |||||| This is line with previous dividend. |  GDV first paid dividend 22 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 27.27% |GDV|0.14||
| Hillenbrand Inc |0.9|25.59|24.96|3.61|75.0|EQUITY||2025-03-14| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-28|2025-03-31|2025-03-13| This is line with previous dividend. |  HI first paid dividend 18 years ago but dividends are growing only for 17 years. Dividend Growth Rate for last 5 years is 1.10% |HI|0.225|2025-03-14|2025-03-30
| Lufax Holding Ltd |0.36|3.06|2.96|10.47|394.68|EQUITY||2024-06-04| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-21|2024-08-06|2024-06-03| This is line with previous dividend. | LU dividend growth is zero. |LU|2.42|2024-06-04|2024-08-05
| WesBanco  Inc. |1.48|31.83|30.86|4.8|64.16|EQUITY||2025-03-10| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-04-21|2025-04-01|2025-03-09| This is line with previous dividend. |  WSBC first paid dividend 39 years ago but dividends are growing only for 15 years. Dividend Growth Rate for last 5 years is 2.95% |WSBC|0.37|2025-03-10|2025-03-31
| Pennon Group PLC |1.16|11.81|11.6|10.02|259.33|EQUITY||2025-02-21| Payout Ratio falls within the  high risk  range (>75%). |||2025-06-03|2025-04-21|2025-02-20| This is line with previous dividend. | PEGRY dividend growth is zero. |PEGRY|2.995|2025-02-21|2025-04-20
| Trustmark Corporation |0.96|35.15|34.3|2.8|124.32|EQUITY||2025-02-28| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-21|2025-03-15|2025-02-27| This is line with previous dividend. |  TRMK first paid dividend 39 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 4.35% |TRMK|0.24|2025-02-28|2025-03-14
| DigitalBridge Group  Inc. |0.04|9.14|8.87|0.45|22.22|EQUITY||2024-12-31| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-28|2025-04-15|2025-03-30| This is line with previous dividend. | DBRG dividend growth is zero. |DBRG|0.01|2025-03-31|2025-04-14
| NexPoint Residential Trust  Inc |2.04|38.84|39.08|5.22|4743.15|EQUITY||2025-03-14| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-28|2025-03-31|2025-03-13| This is line with previous dividend. |  NXRT first paid dividend 11 years ago but dividends are growing only for 9 years. Dividend Growth Rate for last 5 years is 10.26% |NXRT|0.51|2025-03-14|2025-03-30
| CONMED Corporation |0.8|59.85|58.85|1.36|18.82|EQUITY||2025-03-14| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-22|2025-04-04|2025-03-13| This is line with previous dividend. |  CNMD first paid dividend 14 years ago but dividends are growing only for 12 years. Dividend Growth Rate for last 5 years is 0.00% |CNMD|0.2|2025-03-14|2025-04-03
| Compania Cervecerias Unidas  S. |0.46|15.62|15.32|2.98|46.42|EQUITY||2024-04-23| Payout Ratio falls within the  medium risk  range (33%-75%). |||2025-05-06|2024-12-13|2025-04-23| This is line with previous dividend. | CCU dividend growth is zero. |CCU|0.173|2025-04-24|2024-12-12
| LeMaitre Vascular  Inc. |0.8|83.92|83.05|0.96|33.16|EQUITY||2025-03-13| Payout Ratio falls within the  low risk  range (<35%). |||2025-04-30|2025-03-27|2025-03-12| This is line with previous dividend. |  LMAT first paid dividend 15 years ago but dividends are growing only for 14 years. Dividend Growth Rate for last 5 years is 16.05% |LMAT|0.2|2025-03-13|2025-03-26
| Cable One  Inc. |11.8|274.02|267.77|4.41|457.36|EQUITY||2025-02-18| Payout Ratio falls within the  high risk  range (>75%). |||2025-04-30|2025-03-07|2025-02-17| This is line with previous dividend. | CABO dividend growth is zero. |CABO|2.95|2025-02-18|2025-03-06
