symbol,shortName,dividendRate,lastDividendValue,previousClose,currentPrice,dividendYield,payoutRatio,quoteType,message,DividendDate,DividendDate.1,ExDividendDate,ExDividendDate.1,EarningsDate,payoutdate,buy_date,hist,insight
PHIN,PHINIA Inc.,0.27,0.27,42.43,42.92,2.52,56.82,EQUITY,,2025-03-13,2025-03-13,2025-02-28,2025-02-28,2025-04-25,2025-03-14,2025-02-27,Reflecting a 7.41% increase.,"PHIN started paying dividends 3 years ago, and dividends have been growing for 2 years. Dividend Growth Rate for the last 2 years is 3.92%."
AGM,Federal Agricultural Mortgage C,1.5,1.5,187.51,186.67,3.21,34.06,EQUITY,,2025-03-30,2025-03-30,2025-03-14,2025-03-14,2025-05-05,2025-03-31,2025-03-13,Reflecting a 6.67% increase.,"AGM started paying dividends 22 years ago, and dividends have been growing for 16 years. Dividend Growth Rate for the last 5 years is 13.40%."
EFSC,Enterprise Financial Services C,0.29,0.29,53.74,53.52,2.17,21.95,EQUITY,,2025-03-30,2025-03-30,2025-03-14,2025-03-14,2025-04-21,2025-03-31,2025-03-13,Reflecting a 3.45% increase.,"EFSC started paying dividends 21 years ago, and dividends have been growing for 13 years. Dividend Growth Rate for the last 5 years is 10.01%."
PINC,"Premier, Inc.",0.21,0.21,19.28,19.48,4.31,210.0,EQUITY,,2025-03-14,2025-03-14,2025-02-28,2025-02-28,2025-05-05,2025-03-15,2025-02-27,This is in line with the previous dividend.,"PINC started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is 2.02%."
PWP,Perella Weinberg Partners,0.07,0.07,18.4,18.49,1.51,0.0,EQUITY,,2025-03-09,2025-03-09,2025-02-18,2025-02-18,2025-05-01,2025-03-10,2025-02-17,This is in line with the previous dividend.,"PWP started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
BTE,Baytex Energy Corp,0.017,0.017,2.23,2.23,2.81,31.03,EQUITY,,2025-03-31,2025-03-31,2025-03-14,2025-03-14,2025-05-05,2025-04-01,2025-03-13,Reflecting a 5.88% increase.,BTE has just started to pay dividends.
SYBT,"Stock Yards Bancorp, Inc.",0.31,0.31,69.06,68.94,1.8,31.36,EQUITY,,2025-03-31,2025-03-31,2025-03-17,2025-03-17,2025-04-22,2025-04-01,2025-03-16,This is in line with the previous dividend.,"SYBT started paying dividends 33 years ago, and dividends have been growing for 22 years. Dividend Growth Rate for the last 5 years is 2.80%."
CABO,"Cable One, Inc.",2.95,2.95,265.77,269.41,4.38,457.36,EQUITY,,2025-03-06,2025-03-06,2025-02-18,2025-02-18,2025-04-30,2025-03-07,2025-02-17,This is in line with the previous dividend.,"CABO started paying dividends 11 years ago, and dividends have been growing for 10 years. Dividend Growth Rate for the last 5 years is 5.57%."
LMAT,"LeMaitre Vascular, Inc.",0.2,0.2,83.9,85.16,0.94,33.16,EQUITY,,2025-03-26,2025-03-26,2025-03-13,2025-03-13,2025-04-30,2025-03-27,2025-03-12,Reflecting a 20.00% increase.,"LMAT started paying dividends 15 years ago, and dividends have been growing for 14 years. Dividend Growth Rate for the last 5 years is 16.05%."
CCU,"Compania Cervecerias Unidas, S.",0.173,0.173,15.2,15.37,2.97,46.42,EQUITY,,2024-12-12,2024-12-12,2025-04-24,2025-04-24,2025-05-06,2024-12-13,2025-04-23,This is in line with the previous dividend.,CCU has just started to pay dividends.
CNMD,CONMED Corporation,0.2,0.2,60.39,59.4,1.35,18.82,EQUITY,,2025-04-03,2025-04-03,2025-03-14,2025-03-14,2025-04-22,2025-04-04,2025-03-13,This is in line with the previous dividend.,"CNMD started paying dividends 14 years ago, but there is no recorded dividend growth in the last 5 years."
CLM,Cornerstone Strategic Value Fd,0.122,0.122,7.43,7.44,16.92,82.45,EQUITY,"CLM does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"CLM started paying dividends 24 years ago, and dividends have been growing for 1 years. Dividend Growth Rate for the last 1 years is 11.93%."
NXRT,"NexPoint Residential Trust, Inc",0.51,0.51,39.53,40.5,5.04,4743.15,EQUITY,,2025-03-30,2025-03-30,2025-03-14,2025-03-14,2025-04-28,2025-03-31,2025-03-13,This is in line with the previous dividend.,"NXRT started paying dividends 11 years ago, and dividends have been growing for 10 years. Dividend Growth Rate for the last 5 years is 10.26%."
DBRG,"DigitalBridge Group, Inc.",0.01,0.01,8.82,8.85,0.45,22.22,EQUITY,,2025-04-14,2025-04-14,2025-03-31,2025-03-31,2025-04-28,2025-04-15,2025-03-30,This is in line with the previous dividend.,"DBRG started paying dividends 11 years ago, but there is no recorded dividend growth in the last 3 years."
TRMK,Trustmark Corporation,0.24,0.24,34.49,34.51,2.78,124.32,EQUITY,,2025-03-14,2025-03-14,2025-02-28,2025-02-28,2025-04-22,2025-03-15,2025-02-27,Reflecting a 4.17% increase.,"TRMK started paying dividends 39 years ago, and dividends have been growing for 27 years. Dividend Growth Rate for the last 5 years is 0.85%."
PEGRY,Pennon Group PLC,2.995,2.995,11.65,11.74,9.9,259.33,EQUITY,,2025-04-20,2025-04-20,2025-02-21,2025-02-21,2025-06-03,2025-04-21,2025-02-20,Reflecting a 87.78% increase.,PEGRY has just started to pay dividends.
WSBC,"WesBanco, Inc.",0.37,0.37,30.96,30.65,4.83,64.16,EQUITY,,2025-03-31,2025-03-31,2025-03-10,2025-03-10,2025-04-21,2025-04-01,2025-03-09,This is in line with the previous dividend.,"WSBC started paying dividends 39 years ago, and dividends have been growing for 16 years. Dividend Growth Rate for the last 5 years is 2.95%."
LU,Lufax Holding Ltd,2.42,2.42,2.97,2.96,10.47,394.68,EQUITY,,2024-08-05,2024-08-05,2024-06-04,2024-06-04,2025-04-02,2024-08-06,2024-06-03,This is in line with the previous dividend.,LU has just started to pay dividends.
HI,Hillenbrand Inc,0.225,0.225,24.14,23.9,3.77,75.0,EQUITY,,2025-03-30,2025-03-30,2025-03-14,2025-03-14,2025-04-28,2025-03-31,2025-03-13,This is in line with the previous dividend.,"HI started paying dividends 18 years ago, and dividends have been growing for 17 years. Dividend Growth Rate for the last 5 years is 1.10%."
GDV,Gabelli Dividend & Income Trust,0.14,0.14,24.13,24.16,6.95,39.13,EQUITY,,,,,,,,,This is in line with the previous dividend.,"GDV started paying dividends 22 years ago, and dividends have been growing for 3 years. Dividend Growth Rate for the last 3 years is 8.37%."
SAH,"Sonic Automotive, Inc.",0.35,0.35,56.96,57.86,2.42,20.23,EQUITY,,2025-04-14,2025-04-14,2025-03-14,2025-03-14,2025-04-23,2025-04-15,2025-03-13,This is in line with the previous dividend.,"SAH started paying dividends 22 years ago, and dividends have been growing for 15 years. Dividend Growth Rate for the last 5 years is 28.47%."
DKL,"Delek Logistics Partners, L.P.",1.105,1.105,43.26,43.56,10.15,144.31,EQUITY,,2025-02-10,2025-02-10,2025-02-04,2025-02-04,2025-05-05,2025-02-11,2025-02-03,Reflecting a 0.45% increase.,"DKL started paying dividends 13 years ago, and dividends have been growing for 12 years. Dividend Growth Rate for the last 5 years is 4.42%."
ALG,"Alamo Group, Inc.",0.3,0.3,178.21,179.73,0.67,10.8,EQUITY,,2025-01-28,2025-01-28,2025-01-16,2025-01-16,2025-04-30,2025-01-29,2025-01-15,Reflecting a 13.33% increase.,"ALG started paying dividends 33 years ago, and dividends have been growing for 26 years. Dividend Growth Rate for the last 5 years is 18.20%."
EVTC,"Evertec, Inc.",0.05,0.05,36.77,37.02,0.54,11.56,EQUITY,,2025-03-20,2025-03-20,2025-03-03,2025-03-03,2025-04-29,2025-03-21,2025-03-02,This is in line with the previous dividend.,EVTC has just started to pay dividends.
VTMX,"Corporacion Inmobiliaria Vesta,",0.184,0.184,22.81,22.83,3.2,28.14,EQUITY,,2025-01-22,2025-01-22,2025-01-14,2025-01-14,2025-04-17,2025-01-23,2025-01-13,Reflecting a 0.54% increase.,VTMX has just started to pay dividends.
GOF,Guggenheim Strategic Opportunit,0.182,0.182,15.57,15.5,17.93,1092.6,EQUITY,,2019-01-30,2019-01-30,2023-10-12,2023-10-12,2025-04-02,2019-01-31,2023-10-11,This is in line with the previous dividend.,"GOF started paying dividends 19 years ago, but there is no recorded dividend growth in the last 5 years."
ARCB,ArcBest Corporation,0.12,0.12,70.58,70.13,0.68,6.59,EQUITY,,2025-02-24,2025-02-24,2025-02-11,2025-02-11,2025-04-28,2025-02-25,2025-02-10,This is in line with the previous dividend.,"ARCB started paying dividends 29 years ago, and dividends have been growing for 15 years. Dividend Growth Rate for the last 5 years is 8.45%."
EPAC,Enerpac Tool Group Corp.,0.04,0.04,44.86,46.15,0.09,2.47,EQUITY,,2024-10-17,2024-10-17,2024-10-07,2024-10-07,2025-06-23,2024-10-18,2024-10-06,This is in line with the previous dividend.,EPAC has just started to pay dividends.
ICFI,"ICF International, Inc.",0.14,0.14,84.97,84.4,0.66,9.62,EQUITY,,2025-04-13,2025-04-13,2025-03-28,2025-03-28,2025-05-01,2025-04-14,2025-03-27,This is in line with the previous dividend.,"ICFI started paying dividends 8 years ago, but there is no recorded dividend growth in the last 5 years."
KYN,Kayne Anderson MLP/Midstream In,0.08,0.08,12.83,12.97,7.4,19.27,EQUITY,,2019-03-28,2019-03-28,2025-03-14,2025-03-14,2025-01-28,2019-03-29,2025-03-13,This is in line with the previous dividend.,"KYN started paying dividends 21 years ago, and dividends have been growing for 1 years. Dividend Growth Rate for the last 1 years is -63.64%."
NBTB,NBT Bancorp Inc.,0.34,0.34,42.9,42.68,3.19,44.44,EQUITY,,2025-03-16,2025-03-16,2025-03-03,2025-03-03,2025-04-24,2025-03-17,2025-03-02,This is in line with the previous dividend.,"NBTB started paying dividends 34 years ago, and dividends have been growing for 33 years. Dividend Growth Rate for the last 5 years is 4.72%."
WERN,"Werner Enterprises, Inc.",0.14,0.14,29.3,29.34,1.91,101.82,EQUITY,,2025-05-06,2025-05-06,2025-04-14,2025-04-14,2025-04-29,2025-05-07,2025-04-13,This is in line with the previous dividend.,"WERN started paying dividends 36 years ago, and dividends have been growing for 6 years. Dividend Growth Rate for the last 5 years is 9.24%."
CCS,"Century Communities, Inc.",0.29,0.29,67.1,67.15,1.73,10.0,EQUITY,,2025-03-11,2025-03-11,2025-02-26,2025-02-26,2025-04-23,2025-03-12,2025-02-25,Reflecting a 10.34% increase.,"CCS started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 17.92%."
WB,Weibo Corporation,0.82,0.82,9.47,9.45,8.68,0.0,EQUITY,,2025-05-14,2025-05-14,2025-04-09,2025-04-09,2025-05-21,2025-05-15,2025-04-08,This is in line with the previous dividend.,WB has just started to pay dividends.
RNST,Renasant Corporation,0.22,0.22,33.93,34.09,2.58,26.91,EQUITY,,2025-03-30,2025-03-30,2025-03-17,2025-03-17,2025-04-21,2025-03-31,2025-03-16,This is in line with the previous dividend.,"RNST started paying dividends 33 years ago, but there is no recorded dividend growth in the last 5 years."
STRA,"Strategic Education, Inc.",0.6,0.6,83.96,84.82,2.83,51.39,EQUITY,,2025-03-16,2025-03-16,2025-03-10,2025-03-10,2025-04-24,2025-03-17,2025-03-09,This is in line with the previous dividend.,"STRA started paying dividends 25 years ago, but there is no recorded dividend growth in the last 5 years."
BANR,Banner Corporation,0.48,0.48,63.77,63.5,3.02,39.34,EQUITY,,2025-02-13,2025-02-13,2025-02-04,2025-02-04,2025-04-16,2025-02-14,2025-02-03,This is in line with the previous dividend.,"BANR started paying dividends 30 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is 3.20%."
SBCF,Seacoast Banking Corporation of,0.18,0.18,25.73,25.5,2.82,50.7,EQUITY,,2025-03-30,2025-03-30,2025-03-14,2025-03-14,2025-04-23,2025-03-31,2025-03-13,This is in line with the previous dividend.,"SBCF started paying dividends 29 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 8.48%."
ADX,Adams Diversified Equity Fund I,0.47,0.47,18.99,19.15,15.25,54.11,EQUITY,,2019-02-28,2019-02-28,2025-01-27,2025-01-27,2025-04-16,2019-03-01,2025-01-26,Reflecting a -317.02% cut.,ADX has just started to pay dividends.
SXI,Standex International Corporati,0.32,0.32,161.39,160.85,0.8,26.64,EQUITY,,2025-02-27,2025-02-27,2025-02-14,2025-02-14,2025-04-30,2025-02-28,2025-02-13,This is in line with the previous dividend.,"SXI started paying dividends 39 years ago, and dividends have been growing for 16 years. Dividend Growth Rate for the last 5 years is 7.78%."
FRME,First Merchants Corporation,0.35,0.35,40.44,40.19,3.48,40.76,EQUITY,,2025-03-20,2025-03-20,2025-03-07,2025-03-07,2025-04-23,2025-03-21,2025-03-06,This is in line with the previous dividend.,"FRME started paying dividends 37 years ago, and dividends have been growing for 15 years. Dividend Growth Rate for the last 5 years is 6.13%."
WLY,"John Wiley & Sons, Inc.",0.3525,0.3525,44.56,45.07,3.13,190.2,EQUITY,,2025-04-23,2025-04-23,2025-04-08,2025-04-08,2025-06-11,2025-04-24,2025-04-07,This is in line with the previous dividend.,WLY has just started to pay dividends.
IVT,InvenTrust Properties Corp.,0.238,0.238,29.37,29.42,3.23,476.26,EQUITY,,2025-04-14,2025-04-14,2025-03-31,2025-03-31,2025-04-30,2025-04-15,2025-03-30,Reflecting a 5.04% increase.,"IVT started paying dividends 10 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 85.73%."
VSH,"Vishay Intertechnology, Inc.",0.1,0.1,15.9,15.63,2.56,64.52,EQUITY,,2025-03-26,2025-03-26,2025-03-13,2025-03-13,2025-05-06,2025-03-27,2025-03-12,This is in line with the previous dividend.,"VSH started paying dividends 13 years ago, and dividends have been growing for 11 years. Dividend Growth Rate for the last 5 years is 1.03%."
MRX,Marex Group plc,0.14,0.14,35.32,35.68,1.57,10.29,EQUITY,,2025-03-30,2025-03-30,2025-03-17,2025-03-17,2025-03-06,2025-03-31,2025-03-16,This is in line with the previous dividend.,MRX has just started to pay dividends.
PTY,Pimco Corporate & Income Opport,0.119,0.119,14.46,14.5,9.69,104.06,EQUITY,,,,,,,,,This is in line with the previous dividend.,"PTY started paying dividends 23 years ago, but there is no recorded dividend growth in the last 2 years."
HNI,HNI Corporation,0.33,0.33,44.35,44.78,2.95,45.49,EQUITY,,2025-03-04,2025-03-04,2025-02-24,2025-02-24,2025-04-28,2025-03-05,2025-02-23,This is in line with the previous dividend.,"HNI started paying dividends 36 years ago, and dividends have been growing for 35 years. Dividend Growth Rate for the last 5 years is 1.59%."
SHO,"Sunstone Hotel Investors, Inc. ",0.09,0.09,9.41,9.49,3.79,242.86,EQUITY,,2025-04-14,2025-04-14,2025-03-31,2025-03-31,2025-05-06,2025-04-15,2025-03-30,This is in line with the previous dividend.,"SHO started paying dividends 17 years ago, but there is no recorded dividend growth in the last 1 years."
GCMG,GCM Grosvenor Inc.,0.11,0.11,13.23,13.31,3.31,1466.67,EQUITY,,2025-03-16,2025-03-16,2025-03-03,2025-03-03,2025-05-05,2025-03-17,2025-03-02,This is in line with the previous dividend.,"GCMG started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is 8.29%."
UTF,Cohen & Steers Infrastructure F,0.155,0.155,25.55,25.63,7.26,65.49,EQUITY,,2019-03-28,2019-03-28,2025-04-08,2025-04-08,2025-03-07,2019-03-29,2025-04-07,This is in line with the previous dividend.,"UTF started paying dividends 22 years ago, but there is no recorded dividend growth in the last 5 years."
SPB,"Spectrum Brands Holdings, Inc.",0.47,0.47,71.55,71.16,2.64,47.79,EQUITY,,2025-03-10,2025-03-10,2025-02-18,2025-02-18,2025-05-07,2025-03-11,2025-02-17,This is in line with the previous dividend.,"SPB started paying dividends 20 years ago, and dividends have been growing for 7 years. Dividend Growth Rate for the last 5 years is 2.28%."
SEM,Select Medical Holdings Corpora,0.063,0.063,16.7,16.5,1.52,98.04,EQUITY,,2025-03-12,2025-03-12,2025-03-03,2025-03-03,2025-04-30,2025-03-13,2025-03-02,Reflecting a -6.90% cut.,SEM has just started to pay dividends.
LXP,LXP Industrial Trust,0.135,0.135,8.65,8.67,6.11,403.85,EQUITY,,2025-04-14,2025-04-14,2025-03-31,2025-03-31,2025-04-30,2025-04-15,2025-03-30,This is in line with the previous dividend.,"LXP started paying dividends 32 years ago, and dividends have been growing for 6 years. Dividend Growth Rate for the last 5 years is 5.15%."
FBK,FB Financial Corporation,0.19,0.19,46.36,46.14,1.65,27.42,EQUITY,,2025-02-24,2025-02-24,2025-02-11,2025-02-11,2025-04-14,2025-02-25,2025-02-10,Reflecting a 10.53% increase.,"FBK started paying dividends 8 years ago, and dividends have been growing for 7 years. Dividend Growth Rate for the last 5 years is 16.12%."
PPBI,Pacific Premier Bancorp Inc,0.33,0.33,21.32,21.58,6.12,80.0,EQUITY,,2025-02-09,2025-02-09,2025-02-03,2025-02-03,2025-04-22,2025-02-10,2025-02-02,This is in line with the previous dividend.,"PPBI started paying dividends 7 years ago, and dividends have been growing for 6 years. Dividend Growth Rate for the last 5 years is 5.71%."
ETY,Eaton Vance Tax-Managed Diversi,0.099,0.099,14.26,14.25,8.5,76.3,EQUITY,,,,,,,,,This is in line with the previous dividend.,"ETY started paying dividends 19 years ago, and dividends have been growing for 3 years. Dividend Growth Rate for the last 3 years is 2.11%."
DBC,Invesco DB Commodity Index Trac,1.116,1.116,22.5,,5.09,0.0,ETF,"DBC does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,DBC has just started to pay dividends.
AVAL,Grupo Aval Acciones y Valores S,0.009,0.009,2.73,2.73,4.26,67.49,EQUITY,,2025-03-09,2025-03-09,2025-02-28,2025-02-28,2025-05-12,2025-03-10,2025-02-27,This is in line with the previous dividend.,"AVAL started paying dividends 12 years ago, and dividends have been growing for 1 years. Dividend Growth Rate for the last 1 years is -18.18%."
SWI,SolarWinds Corporation,1.0,1.0,18.43,18.44,,0.0,EQUITY,,2024-04-14,2024-04-14,2024-04-02,2024-04-02,2025-04-30,2024-04-15,2024-04-01,This is in line with the previous dividend.,SWI has just started to pay dividends.
SEB,Seaboard Corporation,2.25,2.25,2697.12,2767.99,0.33,9.93,EQUITY,,2025-03-05,2025-03-05,2025-02-24,2025-02-24,2025-04-28,2025-03-06,2025-02-23,This is in line with the previous dividend.,"SEB started paying dividends 31 years ago, but there is no recorded dividend growth in the last 5 years."
CEPU,Central Puerto S.A.,0.066,0.066,11.09,11.33,5.99,0.0,EQUITY,,2024-12-12,2024-12-12,2024-11-29,2024-11-29,2025-05-08,2024-12-13,2024-11-28,This is in line with the previous dividend.,CEPU has just started to pay dividends.
MTX,Minerals Technologies Inc.,0.11,0.11,63.57,62.33,0.71,7.93,EQUITY,,2025-03-06,2025-03-06,2025-02-14,2025-02-14,2025-04-24,2025-03-07,2025-02-13,This is in line with the previous dividend.,"MTX started paying dividends 33 years ago, and dividends have been growing for 26 years. Dividend Growth Rate for the last 5 years is 17.08%."
NZF,Nuveen Municipal Credit Income ,0.08,0.08,12.23,12.35,7.72,34.51,EQUITY,,2019-01-31,2019-01-31,2025-03-14,2025-03-14,2025-06-30,2019-02-01,2025-03-13,This is in line with the previous dividend.,"NZF started paying dividends 25 years ago, and dividends have been growing for 2 years. Dividend Growth Rate for the last 2 years is 116.93%."
KWR,Quaker Houghton,0.485,0.485,123.61,123.67,1.57,28.42,EQUITY,,2025-04-29,2025-04-29,2025-04-16,2025-04-16,2025-04-30,2025-04-30,2025-04-15,This is in line with the previous dividend.,"KWR started paying dividends 39 years ago, and dividends have been growing for 29 years. Dividend Growth Rate for the last 5 years is 4.73%."
PFS,"Provident Financial Services, I",0.24,0.24,17.17,17.19,5.58,91.43,EQUITY,,2025-02-27,2025-02-27,2025-02-14,2025-02-14,2025-04-24,2025-02-28,2025-02-13,This is in line with the previous dividend.,"PFS started paying dividends 23 years ago, and dividends have been growing for 6 years. Dividend Growth Rate for the last 5 years is 0.85%."
BTU,Peabody Energy Corporation,0.075,0.075,13.55,13.53,2.22,10.99,EQUITY,,2025-03-10,2025-03-10,2025-02-19,2025-02-19,2025-04-30,2025-03-11,2025-02-18,This is in line with the previous dividend.,"BTU started paying dividends 5 years ago, but there is no recorded dividend growth in the last 2 years."
CSAN,Cosan S.A.,0.347,0.347,5.22,5.22,6.65,39.99,EQUITY,,2024-07-07,2024-07-07,2024-06-10,2024-06-10,2025-05-14,2024-07-08,2024-06-09,This is in line with the previous dividend.,CSAN has just started to pay dividends.
CURB,Curbline Properties Corp.,0.16,0.16,24.19,24.69,2.59,0.0,EQUITY,,,,,,,,,Reflecting a -56.25% cut.,CURB has just started to pay dividends.
ENR,"Energizer Holdings, Inc.",0.3,0.3,29.92,29.84,4.02,151.9,EQUITY,,2025-03-12,2025-03-12,2025-02-20,2025-02-20,2025-05-05,2025-03-13,2025-02-19,This is in line with the previous dividend.,"ENR started paying dividends 11 years ago, but there is no recorded dividend growth in the last 5 years."
STNG,Scorpio Tankers Inc.,0.4,0.4,37.58,38.1,4.2,12.17,EQUITY,,2025-03-20,2025-03-20,2025-03-07,2025-03-07,2025-05-05,2025-03-21,2025-03-06,This is in line with the previous dividend.,STNG has just started to pay dividends.
MPW,"Medical Properties Trust, Inc.",0.08,0.08,6.03,5.91,5.41,1054.55,EQUITY,,2025-04-09,2025-04-09,2025-03-10,2025-03-10,2025-05-07,2025-04-10,2025-03-09,This is in line with the previous dividend.,"MPW started paying dividends 21 years ago, and dividends have been growing for 1 years. Dividend Growth Rate for the last 1 years is -46.67%."
CC,Chemours Company (The),0.25,0.25,13.53,12.96,7.72,175.44,EQUITY,,2025-03-13,2025-03-13,2025-02-28,2025-02-28,2025-04-28,2025-03-14,2025-02-27,This is in line with the previous dividend.,"CC started paying dividends 11 years ago, but there is no recorded dividend growth in the last 5 years."
CON,Concentra Group Holdings Parent,0.063,0.063,21.7,22.02,1.14,4.28,EQUITY,,2025-03-31,2025-03-31,2025-03-18,2025-03-18,2025-05-05,2025-04-01,2025-03-17,This is in line with the previous dividend.,CON has just started to pay dividends.
FFBC,First Financial Bancorp.,0.24,0.24,24.98,24.82,3.87,39.17,EQUITY,,2025-03-16,2025-03-16,2025-03-03,2025-03-03,2025-04-23,2025-03-17,2025-03-02,This is in line with the previous dividend.,"FFBC started paying dividends 38 years ago, and dividends have been growing for 12 years. Dividend Growth Rate for the last 5 years is 0.85%."
AZZ,AZZ Inc.,0.17,0.17,83.61,85.79,0.79,40.24,EQUITY,,2025-02-19,2025-02-19,2025-01-30,2025-01-30,2025-04-21,2025-02-20,2025-01-29,This is in line with the previous dividend.,"AZZ started paying dividends 29 years ago, but there is no recorded dividend growth in the last 5 years."
AIN,Albany International Corporatio,0.27,0.27,69.04,70.2,1.54,37.5,EQUITY,,2025-04-06,2025-04-06,2025-03-21,2025-03-21,2025-04-28,2025-04-07,2025-03-20,This is in line with the previous dividend.,"AIN started paying dividends 35 years ago, and dividends have been growing for 24 years. Dividend Growth Rate for the last 5 years is 7.28%."
CAKE,The Cheesecake Factory Incorpor,0.27,0.27,48.66,50.86,2.12,33.75,EQUITY,,2025-03-17,2025-03-17,2025-03-05,2025-03-05,2025-05-06,2025-03-18,2025-03-04,This is in line with the previous dividend.,"CAKE started paying dividends 13 years ago, but there is no recorded dividend growth in the last 3 years."
EXG,Eaton Vance Tax-Managed Global ,0.066,0.066,8.14,8.14,9.13,163.42,EQUITY,,,,,,,,,This is in line with the previous dividend.,"EXG started paying dividends 19 years ago, and dividends have been growing for 3 years. Dividend Growth Rate for the last 3 years is -1.47%."
KLIC,"Kulicke and Soffa Industries, I",0.205,0.205,32.98,33.5,2.45,731.82,EQUITY,,2025-04-07,2025-04-07,2025-03-20,2025-03-20,2025-04-28,2025-04-08,2025-03-19,Reflecting a 2.44% increase.,"KLIC started paying dividends 8 years ago, and dividends have been growing for 7 years. Dividend Growth Rate for the last 5 years is 11.30%."
JPC,Nuveen Preferred & Income Oppor,0.067,0.067,7.96,7.94,10.05,52.69,EQUITY,,,,,,,,,This is in line with the previous dividend.,"JPC started paying dividends 23 years ago, and dividends have been growing for 2 years. Dividend Growth Rate for the last 2 years is 23.40%."
BANC,"Banc of California, Inc.",0.1,0.1,14.19,14.14,2.83,76.92,EQUITY,,2025-03-31,2025-03-31,2025-03-14,2025-03-14,2025-04-21,2025-04-01,2025-03-13,This is in line with the previous dividend.,"BANC started paying dividends 23 years ago, and dividends have been growing for 6 years. Dividend Growth Rate for the last 5 years is 10.76%."
HWKN,"Hawkins, Inc.",0.18,0.18,105.92,108.38,0.66,17.39,EQUITY,,2025-02-27,2025-02-27,2025-02-14,2025-02-14,2025-05-13,2025-02-28,2025-02-13,This is in line with the previous dividend.,"HWKN started paying dividends 39 years ago, and dividends have been growing for 7 years. Dividend Growth Rate for the last 5 years is 9.09%."
PLTK,Playtika Holding Corp.,0.1,0.1,5.17,5.26,7.6,90.91,EQUITY,,2025-04-03,2025-04-03,2025-03-21,2025-03-21,2025-05-07,2025-04-04,2025-03-20,This is in line with the previous dividend.,PLTK has just started to pay dividends.
WAFD,"WaFd, Inc.",0.27,0.27,28.58,28.22,3.83,47.49,EQUITY,,2025-03-06,2025-03-06,2025-02-21,2025-02-21,2025-04-21,2025-03-07,2025-02-20,Reflecting a 3.70% increase.,"WAFD started paying dividends 39 years ago, and dividends have been growing for 8 years. Dividend Growth Rate for the last 5 years is 4.18%."
JOE,St. Joe Company (The),0.14,0.14,46.95,46.55,1.2,40.94,EQUITY,,2025-03-26,2025-03-26,2025-03-10,2025-03-10,2025-04-22,2025-03-27,2025-03-09,This is in line with the previous dividend.,"JOE started paying dividends 24 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is 14.87%."
LCII,LCI Industries,1.15,1.15,87.43,87.87,5.24,76.79,EQUITY,,2025-03-20,2025-03-20,2025-03-07,2025-03-07,2025-05-06,2025-03-21,2025-03-06,This is in line with the previous dividend.,"LCII started paying dividends 14 years ago, and dividends have been growing for 9 years. Dividend Growth Rate for the last 5 years is 12.09%."
ABR,Arbor Realty Trust,0.43,0.43,11.75,11.89,14.47,145.76,EQUITY,,2025-03-20,2025-03-20,2025-03-07,2025-03-07,2025-05-01,2025-03-21,2025-03-06,This is in line with the previous dividend.,"ABR started paying dividends 19 years ago, and dividends have been growing for 7 years. Dividend Growth Rate for the last 5 years is 7.47%."
BKE,"Buckle, Inc. (The)",2.85,2.85,38.32,38.42,3.64,35.99,EQUITY,,2025-04-28,2025-04-28,2025-04-15,2025-04-15,2025-05-22,2025-04-29,2025-04-14,Reflecting a 87.72% increase.,"BKE started paying dividends 24 years ago, and dividends have been growing for 1 years. Dividend Growth Rate for the last 1 years is 714.29%."
FCPT,"Four Corners Property Trust, In",0.355,0.355,28.7,28.7,4.95,129.91,EQUITY,,2025-04-14,2025-04-14,2025-03-31,2025-03-31,2025-04-29,2025-04-15,2025-03-30,This is in line with the previous dividend.,"FCPT started paying dividends 10 years ago, and dividends have been growing for 9 years. Dividend Growth Rate for the last 5 years is 3.08%."
CWT,California Water Service Group,0.34,0.34,48.46,48.71,2.46,34.46,EQUITY,,2025-02-20,2025-02-20,2025-02-10,2025-02-10,2025-04-23,2025-02-21,2025-02-09,Reflecting a 17.65% increase.,"CWT started paying dividends 39 years ago, and dividends have been growing for 22 years. Dividend Growth Rate for the last 5 years is 9.80%."
UTG,53270,0.19,0.19,32.54,32.78,6.96,22.03,EQUITY,,,,,,,,,This is in line with the previous dividend.,"UTG started paying dividends 22 years ago, and dividends have been growing for 8 years. Dividend Growth Rate for the last 5 years is 1.09%."
NOMD,Nomad Foods Limited,0.17,0.17,19.65,19.65,3.46,39.59,EQUITY,,2025-02-25,2025-02-25,2025-02-10,2025-02-10,2025-03-03,2025-02-26,2025-02-09,Reflecting a 11.76% increase.,NOMD has just started to pay dividends.
